location,target,unit,value,type,bin_start_incl,bin_end_notincl
US National,Season peak percentage,percent,0.000119020065775617,Bin,9.1,9.2
US National,Season peak percentage,percent,0.000101190801896136,Bin,9.2,9.3
US National,Season peak percentage,percent,0.00138136451290076,Bin,9.3,9.4
US National,Season peak percentage,percent,0.00266350162568498,Bin,9.4,9.5
US National,Season peak percentage,percent,5.98254360971806e-05,Bin,9.5,9.6
US National,Season peak percentage,percent,4.95211866603933e-05,Bin,9.6,9.7
US National,Season peak percentage,percent,0.0013365642331906,Bin,9.7,9.8
US National,Season peak percentage,percent,3.31919572434843e-05,Bin,9.8,9.9
US National,Season peak percentage,percent,2.68627914141077e-05,Bin,9.9,10.0
US National,Season peak percentage,percent,0.00131744291215328,Bin,10.0,10.1
US National,Season peak percentage,percent,1.7186464668055e-05,Bin,10.1,10.2
US National,Season peak percentage,percent,1.35809972532271e-05,Bin,10.2,10.3
US National,Season peak percentage,percent,1.06440434077627e-05,Bin,10.3,10.4
US National,Season peak percentage,percent,0.002600015220426,Bin,10.4,10.5
US National,Season peak percentage,percent,6.37744176825596e-06,Bin,10.5,10.6
US National,Season peak percentage,percent,4.8733999924479e-06,Bin,10.6,10.7
US National,Season peak percentage,percent,3.69327469982971e-06,Bin,10.7,10.8
US National,Season peak percentage,percent,3.12245866782193e-06,Bin,10.8,10.9
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,10.9,11.0
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,11.0,11.1
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,11.1,11.2
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,11.2,11.3
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,11.3,11.4
US National,Season peak percentage,percent,0.00259486127442526,Bin,11.4,11.5
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,11.5,11.6
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,11.6,11.7
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,11.7,11.8
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,11.8,11.9
US National,Season peak percentage,percent,0.00129899038969803,Bin,11.9,12.0
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,12.0,12.1
US National,Season peak percentage,percent,0.00129899038969803,Bin,12.1,12.2
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,12.2,12.3
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,12.3,12.4
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,12.4,12.5
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,12.5,12.6
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,12.6,12.7
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,12.7,12.8
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,12.8,12.9
US National,Season peak percentage,percent,3.11950497080933e-06,Bin,12.9,13.0
US National,Season peak percentage,percent,0.00129899038969803,Bin,13.0,100.0
US National,1 wk ahead,percent,4.92841370435631e-09,Bin,0.0,0.1
US National,1 wk ahead,percent,9.85682740871262e-09,Bin,0.1,0.2
US National,1 wk ahead,percent,9.85682740871262e-09,Bin,0.2,0.3
US National,1 wk ahead,percent,9.85682740871262e-09,Bin,0.3,0.4
US National,1 wk ahead,percent,9.85682740871262e-09,Bin,0.4,0.5
US National,1 wk ahead,percent,9.85682740871262e-09,Bin,0.5,0.6
US National,1 wk ahead,percent,9.85682740871263e-09,Bin,0.6,0.7
US National,1 wk ahead,percent,9.85682740871263e-09,Bin,0.7,0.8
US National,1 wk ahead,percent,1.00843645884433e-08,Bin,0.8,0.9
US National,1 wk ahead,percent,0.00200019842317428,Bin,0.9,1.0
US National,1 wk ahead,percent,0.0740005752589891,Bin,1.0,1.1
US National,1 wk ahead,percent,0.163999743127181,Bin,1.1,1.2
US National,1 wk ahead,percent,0.327999318263371,Bin,1.2,1.3
US National,1 wk ahead,percent,0.277999580930516,Bin,1.3,1.4
US National,1 wk ahead,percent,0.101999704673584,Bin,1.4,1.5
US National,1 wk ahead,percent,0.0379997013649495,Bin,1.5,1.6
US National,1 wk ahead,percent,0.00799994226537551,Bin,1.6,1.7
US National,1 wk ahead,percent,2.18372608420065e-07,Bin,1.7,1.8
US National,1 wk ahead,percent,0.00600031122910889,Bin,1.8,1.9
US National,1 wk ahead,percent,4.74983422672493e-08,Bin,1.9,2.0
US National,1 wk ahead,percent,5.17641647994836e-09,Bin,2.0,2.1
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,2.1,2.2
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,2.2,2.3
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,2.3,2.4
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,2.4,2.5
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,2.5,2.6
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,2.6,2.7
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,2.7,2.8
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,2.8,2.9
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,2.9,3.0
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,3.0,3.1
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,3.1,3.2
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,3.2,3.3
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,3.3,3.4
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,3.4,3.5
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,3.5,3.6
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,3.6,3.7
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,3.7,3.8
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,3.8,3.9
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,3.9,4.0
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,4.0,4.1
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,4.1,4.2
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,4.2,4.3
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,4.3,4.4
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,4.4,4.5
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,4.5,4.6
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,4.6,4.7
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,4.7,4.8
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,4.8,4.9
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,4.9,5.0
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,5.0,5.1
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,5.1,5.2
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,5.2,5.3
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,5.3,5.4
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,5.4,5.5
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,5.5,5.6
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,5.6,5.7
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,5.7,5.8
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,5.8,5.9
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,5.9,6.0
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,6.0,6.1
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,6.1,6.2
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,6.2,6.3
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,6.3,6.4
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,6.4,6.5
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,6.5,6.6
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,6.6,6.7
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,6.7,6.8
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,6.8,6.9
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,6.9,7.0
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,7.0,7.1
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,7.1,7.2
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,7.2,7.3
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,7.3,7.4
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,7.4,7.5
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,7.5,7.6
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,7.6,7.7
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,7.7,7.8
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,7.8,7.9
US National,1 wk ahead,percent,5.17641647994835e-09,Bin,7.9,8.0
US National,1 wk ahead,percent,5.1764164799484e-09,Bin,8.0,8.1
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,8.1,8.2
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,8.2,8.3
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,8.3,8.4
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,8.4,8.5
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,8.5,8.6
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,8.6,8.7
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,8.7,8.8
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,8.8,8.9
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,8.9,9.0
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,9.0,9.1
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,9.1,9.2
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,9.2,9.3
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,9.3,9.4
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,9.4,9.5
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,9.5,9.6
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,9.6,9.7
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,9.7,9.8
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,9.8,9.9
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,9.9,10.0
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,10.0,10.1
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,10.1,10.2
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,10.2,10.3
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,10.3,10.4
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,10.4,10.5
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,10.5,10.6
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,10.6,10.7
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,10.7,10.8
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,10.8,10.9
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,10.9,11.0
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,11.0,11.1
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,11.1,11.2
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,11.2,11.3
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,11.3,11.4
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,11.4,11.5
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,11.5,11.6
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,11.6,11.7
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,11.7,11.8
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,11.8,11.9
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,11.9,12.0
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,12.0,12.1
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,12.1,12.2
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,12.2,12.3
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,12.3,12.4
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,12.4,12.5
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,12.5,12.6
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,12.6,12.7
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,12.7,12.8
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,12.8,12.9
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,12.9,13.0
US National,1 wk ahead,percent,5.17641647994844e-09,Bin,13.0,100.0
US National,2 wk ahead,percent,5.30046825074748e-09,Bin,0.0,0.1
US National,2 wk ahead,percent,1.0600936501495e-08,Bin,0.1,0.2
